,postalcode,price,year,area,rooms,type
146135,270,56600000,2020,109,3,0
146137,221,91900000,2001,213,4,1
146139,804,32000000,1956,275,9,2
146142,600,73800000,1972,204,5,2
146143,107,75000000,1957,143,4,0
146144,270,43000000,2004,111,3,0
146145,735,33000000,1989,125,4,2
146146,112,44900000,1996,84,2,0
146147,220,43000000,1992,104,2,0
146148,201,61500000,2003,116,3,0
146149,806,22700000,2003,136,3,1
146151,113,54000000,2004,110,3,0
146152,112,48500000,2005,105,3,0
146153,221,53100000,2006,126,3,0
146154,170,73000000,2019,127,3,0
146155,800,39000000,1964,109,4,0
146158,110,49200000,1967,124,4,0
146159,220,71000000,1909,135,1,0
146160,220,71000000,1909,135,2,0
146162,102,89000000,1994,149,2,0
146163,111,34900000,1972,99,3,0
146165,110,40000000,1983,76,1,0
146166,220,68200000,1989,128,3,1
146167,112,54500000,1997,123,3,0
146171,110,47900000,2005,86,2,0
146172,260,37500000,2019,101,3,0
146175,260,27800000,1970,92,3,0
146176,112,48500000,2007,89,2,0
146177,112,54000000,1986,121,2,0
146178,109,44000000,1976,105,3,0
146179,230,47900000,2020,110,3,0
146181,101,58900000,1937,105,1,0
146183,800,38500000,2017,91,3,1
146184,260,47000000,1964,120,3,2
146185,230,43500000,1954,155,4,2
146187,900,45000000,1955,200,5,2
146188,900,42000000,1975,197,5,2
146189,825,50350000,1984,209,4,2
146190,800,42600000,2020,101,2,0
146191,103,27300000,1983,113,2,0
146192,350,32200000,2006,140,3,1
146193,210,51750000,2017,99,2,0
146195,600,23500000,1893,100,3,2
146196,600,25500000,1974,82,2,0
146197,600,36700000,2011,97,2,0
146198,780,35000000,1972,176,4,2
146199,101,58000000,2018,75,2,0
146200,201,55000000,2000,134,2,0
146202,270,52300000,2018,104,3,0
146203,603,25000000,1972,82,3,0
146204,220,28200000,1955,48,1,0
146205,101,48750000,1977,100,3,0
146206,603,37000000,1996,98,3,0
146207,109,72000000,1973,185,4,1
146210,221,44000000,2002,89,2,0
146211,600,40900000,1974,122,4,1
146212,600,27500000,1974,98,3,0
146213,221,71900000,2002,155,3,0
146214,200,32900000,2020,47,1,0
146215,300,36200000,2007,113,2,0
146217,200,41000000,1978,75,3,0
146218,200,46600000,1978,73,2,0
146221,200,53700000,2000,119,2,0
146222,105,46000000,1963,114,3,0
146223,200,43100000,1975,95,4,0
146224,170,44000000,1982,79,1,0
146225,112,49500000,2007,102,2,0
146226,210,51300000,2020,89,2,0
146227,112,20000000,1996,67,1,0
146228,220,35900000,1989,63,2,0
146229,108,43400000,2020,78,1,0
146230,111,37500000,1976,88,2,0
146231,220,92000000,1937,240,8,2
146232,170,39000000,1985,66,1,0
146233,111,38500000,1980,104,2,0
146234,105,49500000,1965,114,3,0
146235,220,65500000,2015,126,2,0
146236,108,45000000,1967,79,2,0
146237,310,62000000,1950,287,1,2
146238,310,62000000,1876,287,6,2
146239,300,28500000,1979,86,2,0
146240,260,52200000,2020,130,2,0
146241,260,36100000,2019,83,2,0
146242,230,29500000,1946,119,3,0
146243,810,35500000,2006,82,1,0
146244,230,65000000,1955,320,3,0
146245,230,65000000,1955,320,6,0
146247,109,41800000,1970,86,2,0
146248,230,36000000,2000,94,2,0
146249,230,27000000,1992,70,1,0
146251,260,25000000,1970,81,2,0
146257,108,44500000,1962,78,2,0
146258,270,39300000,2020,54,1,0
146259,270,46800000,2020,83,2,0
146261,221,52500000,2000,113,3,0
